"","ID","Presa","Grupo.funcional.presa","Depredador","Grupo.funcional.depredador","Estrategia","Fuente","Expertise.depredador","Expertise.presa","Referencia","Enlace","Referente"
"91",307,"Galiteuthis_glacialis","Cephalopoda ","Mesoplodon_hectori","Ziphiidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",13,"",NA
"92",319,"Loligo_gahi","Cephalopoda ","Mesoplodon_layardii","Ziphiidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",13,"",NA
"93",320,"Ilex_argentinus","Cephalopoda ","Mesoplodon_layardii","Ziphiidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",13,"",NA
"94",324,"Galiteuthis_glacialis","Cephalopoda ","Mesoplodon_layardii","Ziphiidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",13,"",NA
"95",327,"Taonius*","Cephalopoda ","Mesoplodon_layardii","Ziphiidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",13,"",NA
"96",328,"Histioteuthis_atlantica","Cephalopoda ","Mesoplodon_layardii","Ziphiidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",13,"",NA
"97",329,"Histioteuthis_macrohista","Cephalopoda ","Mesoplodon_layardii","Ziphiidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",13,"",NA
"98",330,"Gonatus_antarcticus","Cephalopoda","Mesoplodon_layardii","Ziphiidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",13,"",NA
"99",331,"Kondakovia_longimana","Cephalopoda ","Mesoplodon_layardii","Ziphiidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",13,"",NA
"100",332,"Batoteuthis_skolops","Cephalopoda ","Mesoplodon_layardii","Ziphiidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",13,"",NA
"101",333,"Galiteuthis_glacialis","Cephalopoda ","Mesoplodon_layardii","Ziphiidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",13,"",NA
"102",345,"Loligo_gahi","Cephalopoda ","Tasmacetus_shepherdi","Ziphiidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",13,"",NA
