resource,consumer
Trophon geversianus,Patagonotothen tessellata
Trophon geversianus,Asterina fimbriata
Trophon geversianus,Austrolycus depressiceps
Trophon geversianus,Cosmasterias lurida
Trophon geversianus,Eleginops maclovinus
Xymenopsis muriciformis ,Anasterias antarctica
Xymenopsis muriciformis ,Patagonotothen tessellata
Xymenopsis muriciformis ,Austrolycus depressiceps
Xymenopsis muriciformis ,Eleginops maclovinus
Bryozoa,Polyplacophora
Bryozoa,Pseudechinus magellanicus
Bryozoa,Tonicia sp.
Bryozoa,Munida gregaria
Bryozoa,Dissostichus eleginoides
Bryozoa,Genypterus blacodes
Bryozoa,Arbacia dufresnii
Bryozoa,Paralomis granulosa
Bryozoa,Paranotothenia magellanica
Bryozoa,Polynoidae
Bryozoa,Glabraster antarctica
Bryozoa,Lithodes santolla
Copepoda,Zooplankton
Copepoda,Eurypodius latreillii
Copepoda,Halicarcinus planatus 
Copepoda,Pagurus comptus
Copepoda,Polychaeta
Copepoda,Pseudechinus magellanicus
Copepoda,Harpagifer bispinis
Copepoda,Munida gregaria
Copepoda,Patagonotothen cornucola
Copepoda,Nemertea
Copepoda,Cephalopoda
Copepoda,Dissostichus eleginoides
Copepoda,Euphausiacea
Copepoda,Gammaridea
Copepoda,Peltarion spinosulum
Copepoda,Genypterus blacodes
Copepoda,Macruronus magellanicus
Copepoda,Patagonotothen sp.
Copepoda,Sprattus fuegensis
Copepoda,Bathyraja griseocauda
Copepoda,Patagonotothen longipes
Copepoda,Patagonotothen sima
Copepoda,Patagonotothen tessellata
Copepoda,Arbacia dufresnii
Copepoda,Paralomis granulosa
Copepoda,Paranotothenia magellanica
Copepoda,Patagonotothen brevicauda brevicauda
Copepoda,Patagonotothen ramsayi
Copepoda,Salilota australis
Copepoda,Polynoidae
Copepoda,Hydrozoa
Copepoda,Galaxias maculatus
Copepoda,Hyperiidea
Copepoda,Stromateus brasiliensis
Copepoda,Zygochlamys patagonica
Copepoda,Champsocephalus esox
Copepoda,Eleginops maclovinus
Copepoda,Lithodes santolla
Copepoda,Odontesthes nigricans
Cumacea,Polychaeta
Cumacea,Pseudechinus magellanicus
Cumacea,Dissostichus eleginoides
Cumacea,Ophiuroidea
Cumacea,Arbacia dufresnii
Cumacea,Bathyraja albomaculata
Cumacea,Nereididae
Cumacea,Eleginops maclovinus
