ID,Presa,Grupo funcional presa,Expertise presa,Depredador,Grupo funcional depredador,Expertise depredador,Estrategia,Fuente,Referencia,Enlace,Observaciones
113,Merluccius_hubbsi,Gadiformes,Peces demersales,Ziphiidae,Ziphiidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2017",https://doi.org/10.3354/meps12296,
114,Merluccius_australis,Gadiformes,Peces demersales,Ziphiidae,Ziphiidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2017",https://doi.org/10.3354/meps12296,
115,Channichthyidae ,Perciformes,Peces,Ziphiidae,Ziphiidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2017",https://doi.org/10.3354/meps12296,
116,Galiteuthis_glacialis,Cephalopoda,Cefalopodos,Ziphiidae,Ziphiidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2017",https://doi.org/10.3354/meps12296,
117,Cranchiidae,Cephalopoda,Cefalopodos,Ziphiidae,Ziphiidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2017",https://doi.org/10.3354/meps12296,
118,Histioteuthis,Cephalopoda,Cefalopodos,Ziphiidae,Ziphiidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2017",https://doi.org/10.3354/meps12296,
119,Histioteuthis,Cephalopoda,Cefalopodos,Ziphiidae,Ziphiidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2017",https://doi.org/10.3354/meps12296,
120,Gonatidae,Cephalopoda,Cefalopodos,Ziphiidae,Ziphiidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2017",https://doi.org/10.3354/meps12296,Infered from Gonatus_antarcticus
121,Kondakovia_longimana,Cephalopoda,Cefalopodos,Ziphiidae,Ziphiidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2017",https://doi.org/10.3354/meps12296,
122,Cephalopoda_otros,Cephalopoda,Cefalopodos,Ziphiidae,Ziphiidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2017",https://doi.org/10.3354/meps12296,
123,Galiteuthis_glacialis,Cephalopoda,Cefalopodos,Ziphiidae,Ziphiidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2017",https://doi.org/10.3354/meps12296,
124,Dissostichus_eleginoides,Perciformes,Peces demersales,Ziphiidae,Ziphiidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2017",https://doi.org/10.3354/meps12296,
125,Micromesistius_australis,Gadiformes,Peces,Ziphiidae,Ziphiidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2017",https://doi.org/10.3354/meps12296,
126,Macruronus_magellanicus,Gadiformes,Peces demersales,Ziphiidae,Ziphiidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2017",https://doi.org/10.3354/meps12296,
