ID,Prey,Prey funtional group,Prey expertise,Predator,Predator funtional group,Predator expertise,Strategy,Source,Reference,Link,Observations
520,Drepanopus_forcipatus,Copepoda,Zooplankton,Balaenoptera_borealis,Cetacea,Sea mammals,Filter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
521,Neocalanoida_tonsus,Copepoda,Zooplankton,Balaenoptera_borealis,Cetacea,Sea mammals,Filter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
522,RhinCalanoida_gigas,Copepoda,Zooplankton,Balaenoptera_borealis,Cetacea,Sea mammals,Filter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
523,Sprattus_fuegensis,Clupeiformes,Sardinas,Balaenoptera_physalus,Cetacea,Sea mammals,Filter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
524,Sprattus_fuegensis,Clupeiformes,Sardinas,Balaenoptera_physalus,Cetacea,Sea mammals,Filter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
525,CtenoCalanoida_vanus,Copepoda,Zooplankton,Balaenoptera_physalus,Cetacea,Sea mammals,Filter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
526,Drepanopus_forcipatus,Copepoda,Zooplankton,Balaenoptera_physalus,Cetacea,Sea mammals,Filter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
527,RhinCalanoida_gigas,Copepoda,Zooplankton,Balaenoptera_physalus,Cetacea,Sea mammals,Filter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
528,CtenoCalanoida_vanus,Copepoda,Zooplankton,Eubalaena_australis,Cetartiodactyla,Sea mammals,Filter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
529,Drepanopus_forcipatus,Copepoda,Zooplankton,Eubalaena_australis,Cetartiodactyla,Sea mammals,Filter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
530,Neocalanoida_tonsus,Copepoda,Zooplankton,Eubalaena_australis,Cetartiodactyla,Sea mammals,Filter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
531,RhinCalanoida_gigas,Copepoda,Zooplankton,Eubalaena_australis,Cetartiodactyla,Sea mammals,Filter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
532,Doryteuthis_gahi,Cephalopoda,Cephalopods,Lagenorhynchus_australis,Delphinidae,Sea mammals,Hunter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
533,Enteroctopus_megalocyathus,Cephalopoda,Cephalopods,Lagenorhynchus_australis,Delphinidae,Sea mammals,Hunter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
534,Grimothea_gregaria,Malacostraca,Crustaceans,Lagenorhynchus_australis,Delphinidae,Sea mammals,Hunter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
535,Patagonotothen_guntheri,Perciformes,Fish,Lagenorhynchus_australis,Delphinidae,Sea mammals,Hunter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
536,Patagonotothen_ramsayi,Perciformes,Fish,Lagenorhynchus_australis,Delphinidae,Sea mammals,Hunter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
537,Sprattus_fuegensis,Clupeiformes,Sardinas,Lagenorhynchus_australis,Delphinidae,Sea mammals,Hunter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
538,Enteroctopus_megalocyathus,Cephalopoda,Cephalopods,Otaria_flBirdscens,Carnivora,Sea mammals,Hunter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
539,Grimothea_gregaria,Malacostraca,Crustaceans,Otaria_flBirdscens,Carnivora,Sea mammals,Hunter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
540,Dissostichus_eleginoides,Perciformes,Fish_Demersal,Otaria_flBirdscens,Carnivora,Sea mammals,Hunter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
541,Macrourus_carinatus,Gadiformes,Fish,Otaria_flBirdscens,Carnivora,Sea mammals,Hunter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
542,Macrourus_holotrachys,Gadiformes,Fish,Otaria_flBirdscens,Carnivora,Sea mammals,Hunter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
543,Salilota_australis,Gadiformes,Fish,Otaria_flBirdscens,Carnivora,Sea mammals,Hunter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
