ID,Presa,Grupo funcional presa,Depredador,Grupo funcional depredador,Estrategia,Fuente,Referencia,Enlace
59,Campylognathus_vagans,Malacostraca,Lagenorhynchus_cruciger,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
60,Munida_gregaria,Malacostraca,Lagenorhynchus_cruciger,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
61,Euphausia_lucens,Malacostraca,Lagenorhynchus_cruciger,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
62,Calanus_australis,Copepoda ,Lagenorhynchus_cruciger,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
63,Themisto_gaudichaudii,Malacostraca,Lagenorhynchus_cruciger,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
65,Patagonotothen_sima,Perciformes,Lagenorhynchus_australis,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
66,Patagonotothen_tessellata,Perciformes,Lagenorhynchus_australis,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
67,Eleginops_maclovinus,Perciformes,Lagenorhynchus_australis,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
69,Micromesistius_australis,Perciformes,Lissodelphis_peronii,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
70,Coelorinchus_fasciatus,Gadiformes ,Lissodelphis_peronii,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
71,Nototeniidae*,Perciformes,Lissodelphis_peronii,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
72,Iluocoetes_fimbriatus,Perciformes,Lissodelphis_peronii,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
73,Loligo_gahi,Cephalopoda ,Lissodelphis_peronii,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
74,Ilex_argentinus,Cephalopoda ,Lissodelphis_peronii,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
75,Moroteuthis_ingens,Cephalopoda ,Lissodelphis_peronii,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
76,Merluccius_hubbsi,Gadiformes ,Pseudorca_crassidens,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
77,Merluccius_australis,Gadiformes ,Pseudorca_crassidens,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
78,Salilota_australis,Gadiformes ,Pseudorca_crassidens,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
79,Macruronus_magellanicus,Gadiformes ,Pseudorca_crassidens,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
