"resource","consumer"
"Borostomias antarcticus","Mastigoteuthis"
"Borostomias antarcticus","Megalocranchia"
"Borostomias antarcticus","Muggiaea bargmannae"
"Borostomias antarcticus","Pandea rubra"
"Borostomias antarcticus","Parandania boecki"
"Borostomias antarcticus","Pleuragramma antarcticum"
"Borostomias antarcticus","Pleurobrachia"
"Borostomias antarcticus","Psychroteuthis glacialis"
"Borostomias antarcticus","Slosarczykovia circumantarctica"
"Borostomias antarcticus","Stomias gracilis"
"Brachioteuthis picta","Alluroteuthis antarcticus"
"Brachioteuthis picta","Bathyteuthis abyssicola"
"Brachioteuthis picta","Batoteuthis skolops"
"Brachioteuthis picta","Brachioteuthis picta"
"Brachioteuthis picta","Dissostichus eleginoides"
"Brachioteuthis picta","Filippovia knipovitchi"
"Brachioteuthis picta","Galiteuthis glacialis"
"Brachioteuthis picta","Gigantocypris muelleri"
"Brachioteuthis picta","Gonatus antarcticus"
"Brachioteuthis picta","Gymnoscopelus bolini"
"Brachioteuthis picta","Histioteuthis eltaninae"
"Brachioteuthis picta","Kondakovia longimana"
"Brachioteuthis picta","Mastigoteuthis"
"Brachioteuthis picta","Megalocranchia"
"Brachioteuthis picta","Mesonychoteuthis hamiltoni"
"Brachioteuthis picta","Psychroteuthis glacialis"
"Brachioteuthis picta","Slosarczykovia circumantarctica"
"Calanoides acutus","Alacia hettacra"
"Calanoides acutus","Atolla wyvillei"
"Calanoides acutus","Austrinoecia isocheira"
"Calanoides acutus","Bathyteuthis abyssicola"
"Calanoides acutus","Batoteuthis skolops"
"Calanoides acutus","Beroe"
"Calanoides acutus","Borostomias antarcticus"
"Calanoides acutus","Brachioteuthis picta"
"Calanoides acutus","Callianira"
"Calanoides acutus","Calycopsis borchgrevinki"
"Calanoides acutus","Candacia"
"Calanoides acutus","Corycaeus"
"Calanoides acutus","Crossota brunnea"
"Calanoides acutus","Cyclothone"
"Calanoides acutus","Cyphocaris faurei"
"Calanoides acutus","Cyphocaris richardi"
"Calanoides acutus","Dimophyes arctica"
"Calanoides acutus","Diphyes antarctica"
"Calanoides acutus","Electrona antarctica"
"Calanoides acutus","Euchirella rostromagna"
"Calanoides acutus","Eudoxoides spiralis"
"Calanoides acutus","Eukrohnia hamata"
"Calanoides acutus","Euphausia frigida"
"Calanoides acutus","Euphausia superba"
"Calanoides acutus","Euphausia triacantha"
"Calanoides acutus","Gaetanus tenuispinus"
"Calanoides acutus","Galiteuthis glacialis"
"Calanoides acutus","Gigantocypris muelleri"
"Calanoides acutus","Gilia reticulata"
"Calanoides acutus","Gonatus antarcticus"
"Calanoides acutus","Gymnoscopelus bolini"
"Calanoides acutus","Gymnoscopelus braueri"
"Calanoides acutus","Gymnoscopelus nicholsi"
"Calanoides acutus","Halicreas minimum"
"Calanoides acutus","Heterorhabdus austrinus"
"Calanoides acutus","Hippopodiidae"
"Calanoides acutus","Krefftichthys anderssoni"
"Calanoides acutus","Marrus antarcticus"
"Calanoides acutus","Mastigoteuthis"
"Calanoides acutus","Megalocranchia"
"Calanoides acutus","Muggiaea bargmannae"
"Calanoides acutus","Nannobrachium achirus"
"Calanoides acutus","Neognathophausia gigas"
"Calanoides acutus","Notolepis coatsi"
"Calanoides acutus","Pandea rubra"
"Calanoides acutus","Pantachogon haeckeli"
"Calanoides acutus","Paraeuchaeta antarctica"
"Calanoides acutus","Paraeuchaeta barbata"
"Calanoides acutus","Paraeuchaeta biloba"
"Calanoides acutus","Paraeuchaeta rasa"
"Calanoides acutus","Paraphyllina ransoni"
"Calanoides acutus","Periphylla periphylla"
"Calanoides acutus","Phronima sedentaria"
"Calanoides acutus","Pleuragramma antarcticum"
"Calanoides acutus","Pleurobrachia"
"Calanoides acutus","Pleuromamma abdominalis"
"Calanoides acutus","Pleuromamma antarctica"
"Calanoides acutus","Pleuromamma robusta"
"Calanoides acutus","Primno macropa"
"Calanoides acutus","Protomyctophum bolini"
"Calanoides acutus","Protomyctophum choriodon"
"Calanoides acutus","Rosacea plicata"
"Calanoides acutus","Sagitta gazellae"
"Calanoides acutus","Sagitta marri"
"Calanoides acutus","Salpa thompsoni"
"Calanoides acutus","Scaphocalanus australis"
"Calanoides acutus","Scaphocalanus farrani"
"Calanoides acutus","Slosarczykovia circumantarctica"
"Calanoides acutus","Solmundella bitentaculata"
"Calanoides acutus","Stoloteuthis leucoptera"
"Calanoides acutus","Stygiomedusa gigantea"
"Calanoides acutus","Themisto gaudichaudii"
"Calanoides acutus","Thysanoessa macrura"
"Calanoides acutus","Thysanoessa vicina"
"Calanoides acutus","Vanadis"
"Calanoides acutus","Zanclonia weldoni"
"Calanus propinquus","Alacia hettacra"
"Calanus propinquus","Atolla wyvillei"
"Calanus propinquus","Austrinoecia isocheira"
"Calanus propinquus","Bathyteuthis abyssicola"
"Calanus propinquus","Batoteuthis skolops"
"Calanus propinquus","Beroe"
"Calanus propinquus","Borostomias antarcticus"
"Calanus propinquus","Brachioteuthis picta"
"Calanus propinquus","Callianira"
"Calanus propinquus","Calycopsis borchgrevinki"
"Calanus propinquus","Candacia"
"Calanus propinquus","Corycaeus"
"Calanus propinquus","Crossota brunnea"
"Calanus propinquus","Cyclothone"
"Calanus propinquus","Cyphocaris faurei"
"Calanus propinquus","Cyphocaris richardi"
"Calanus propinquus","Dimophyes arctica"
"Calanus propinquus","Diphyes antarctica"
"Calanus propinquus","Electrona antarctica"
"Calanus propinquus","Euchirella rostromagna"
"Calanus propinquus","Eudoxoides spiralis"
"Calanus propinquus","Eukrohnia hamata"
"Calanus propinquus","Euphausia frigida"
"Calanus propinquus","Euphausia superba"
"Calanus propinquus","Euphausia triacantha"
"Calanus propinquus","Gaetanus tenuispinus"
"Calanus propinquus","Galiteuthis glacialis"
"Calanus propinquus","Gigantocypris muelleri"
"Calanus propinquus","Gilia reticulata"
"Calanus propinquus","Gonatus antarcticus"
"Calanus propinquus","Gymnoscopelus bolini"
"Calanus propinquus","Gymnoscopelus braueri"
"Calanus propinquus","Gymnoscopelus nicholsi"
"Calanus propinquus","Halicreas minimum"
"Calanus propinquus","Heterorhabdus austrinus"
"Calanus propinquus","Hippopodiidae"
"Calanus propinquus","Krefftichthys anderssoni"
