ID,Presa,Grupo funcional presa,Expertise presa,Depredador,Grupo funcional depredador,Expertise depredador,Estrategia,Fuente,Referencia,Enlace,Observaciones
94,Merlucciidae ,Gadiformes,Peces demersales,Ziphiidae_sp,Ziphiidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2017",https://doi.org/10.3354/meps12296,
95,Gobionotothen_gibberifrons,Perciformes,Peces,Ziphiidae_sp,Ziphiidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2017",https://doi.org/10.3354/meps12296,
96,Channichthyidae ,Perciformes,Peces,Ziphiidae_sp,Ziphiidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2017",https://doi.org/10.3354/meps12296,
97,Channichthyidae ,Perciformes,Peces,Ziphiidae_sp,Ziphiidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2017",https://doi.org/10.3354/meps12296,
98,Channichthyidae ,Perciformes,Peces,Ziphiidae_sp,Ziphiidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2017",https://doi.org/10.3354/meps12296,
99,Lepidonotothen,Perciformes,Peces,Ziphiidae_sp,Ziphiidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2017",https://doi.org/10.3354/meps12296,
100,Nototheniidae_spp,Perciformes,Peces,Ziphiidae_sp,Ziphiidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2017",https://doi.org/10.3354/meps12296,
101,Pseudochaenichthys_georgianus,Perciformes,Peces,Ziphiidae_sp,Ziphiidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2017",https://doi.org/10.3354/meps12296,
102,Doryteuthis_gahi,Cephalopoda,Cefalopodos,Ziphiidae_sp,Ziphiidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2017",https://doi.org/10.3354/meps12296,
103,Illex_argentinus,Cephalopoda,Cefalopodos,Ziphiidae_sp,Ziphiidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2017",https://doi.org/10.3354/meps12296,
104,Merlucciidae ,Gadiformes,Peces demersales,Ziphiidae_sp,Ziphiidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2017",https://doi.org/10.3354/meps12296,
105,Merlucciidae ,Gadiformes,Peces demersales,Ziphiidae_sp,Ziphiidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2017",https://doi.org/10.3354/meps12296,
106,Champsocephalus_aceratus,Perciformes,Peces,Ziphiidae_sp,Ziphiidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2017",https://doi.org/10.3354/meps12296,
