ID,Presa,Grupo funcional presa,Depredador,Grupo funcional depredador,Estrategia,Fuente,Expertise depredador,Expertise presa,Referencia,Enlace,Referente
117,Genypterus_blacodes,Ophidiiformes,Cephalorhynchus_commersonii,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
118,Ilex_argentinus,Cephalopoda ,Cephalorhynchus_commersonii,Delphinidae,,Heterótrofo,Mamiferos marinos,Cefalopodos,8,https://doi.org/10.3354/meps08826,
119,Loligo_gahi,Cephalopoda ,Cephalorhynchus_commersonii,Delphinidae,,Heterótrofo,Mamiferos marinos,Cefalopodos,8,https://doi.org/10.3354/meps08826,
120,Merluccius_hubbsi,Gadiformes ,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,Mamiferos marinos,Peces demersales,8,https://doi.org/10.3354/meps08826,
121,Merluccius_australis,Gadiformes ,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,Mamiferos marinos,Peces demersales,8,https://doi.org/10.3354/meps08826,
122,Salilota_australis,Gadiformes ,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
123,Macruronus_magellanicus,Gadiformes ,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,Mamiferos marinos,Peces demersales,8,https://doi.org/10.3354/meps08826,
124,Cottoperca_gobio,Gadiformes ,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
125,Coelorinchus_fasciatus,Gadiformes ,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
126,Iluocoetes_fimbriatus,Perciformes,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
127,Cottunculus_granulosus,Perciformes,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
128,Dissostichus_eleginoides,Perciformes,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,Mamiferos marinos,Peces demersales,8,https://doi.org/10.3354/meps08826,
129,Genypterus_blacodes,Ophidiiformes,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
130,Nototeniidae*,Perciformes,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
131,Micromesistius_australis,Gadiformes ,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
132,Patagonotothen_ramsayi,Perciformes,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
133,Pseudocythus_maculatus,Zeiformes ,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
134,Myctophidae* ,Myctophiformes ,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
135,Bathyraja_macloviana,Rajiformes,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,Mamiferos marinos,Condrictios,8,https://doi.org/10.3354/meps08826,
136,Eleginops_maclovinus,Perciformes,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
137,Zoarcidae*,Perciformes,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
138,Patagonotothen* ,Perciformes,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
139,Patagonotothen_sima,Perciformes,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
140,Patagonotothen_tessellata,Perciformes,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
141,Odonthestes*,Atheriniformes,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
142,Sprattus_fuegensis,Clupeiformes ,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,Mamiferos marinos,Sardinas,8,https://doi.org/10.3354/meps08826,
143,Loligo_gahi,Cephalopoda ,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,Mamiferos marinos,Cefalopodos,8,https://doi.org/10.3354/meps08826,
144,llex,Cephalopoda ,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,Mamiferos marinos,Cefalopodos,8,https://doi.org/10.3354/meps08826,
145,Ilex_argentinus,Cephalopoda ,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,Mamiferos marinos,Cefalopodos,8,https://doi.org/10.3354/meps08826,
146,Moroteuthis_ingens,Cephalopoda ,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,Mamiferos marinos,Cefalopodos,8,https://doi.org/10.3354/meps08826,
